TIME 1,TIME 2,FASE,PLACAR,RODADA,,AMARELOS,VERMELHOS,DATA,HORÁRIO,ESTÁDIO,ESTÁDIO
JOINVILLE,FIGUERENSE,GRUPOS,0 x 0,Primeira Rodada,,5,0,11/01/2025,16:30,Arena Joinville,
CONCÓRDIA,BARRA,GRUPOS,0 x 0,Primeira Rodada,,2,0,15/01/2025,19:00,Estádio Domingos Machado De Lima,
CARAVAGGIO,CHAPECOENSE,GRUPOS,1 x 1,Primeira Rodada,,7,0,15/01/2025,19:30,Estádio da Montanha,
MARCÍLIO DIAS,BRUSQUE,GRUPOS,0 x 0,Primeira Rodada,,8,1,15/01/2025,20:00,Estádio Dr. Hercílio Luz,
AVAÍ,SANTA CATARINA,GRUPOS,1 x 0 ,Primeira Rodada,,8,0,15/01/2025,20:30,Estádio da Ressacada,
HERCÍLIO LUZ,CRICIÚMA,GRUPOS,0 x 1,Primeira Rodada,,4,1,19/02/2025,20:30,Estádio Anibal Torres Costa,
BRUSQUE,AVAÍ,GRUPOS,0 x 0,Segunda Rodada,,4,0,18/01/2025,16:30,Estádio Augusto Bauer,
FIGUEIRENSE,HERCÍLIO LUZ,GRUPOS,1 x 1,Segunda Rodada,,5,0,18/01/2025,19:00,Estádio Orlando Scarpelli,
CHAPECOENSE,MARCÍLIO DIAS,GRUPOS,1 x 0,Segunda Rodada,,6,0,19/01/2025,16:00,Estádio Municipal Josué Annoni,
CRICIÚMA,CONCÓRDIA,GRUPOS,2 x 0,Segunda Rodada,,2,0,19/01/2025,16:00,Estádio Heriberto Hulse,
SANTA CATARINA,CARAVAGGIO,GRUPOS,3 x 1,Segunda Rodada,,4,0,19/01/2025,16:00,Estádio Municipal Alfredo João Krieck,
BARRA,JOINVILLE,GRUPOS,0 x 0,Segunda Rodada,,2,0,19/01/2025,18:15,Arena Barra Futebol Clube,
CARAVAGGIO,AVAÍ,GRUPOS,0 x 0,Terceira Rodada,,5,0,22/01/2025,19:00,Estádio da Montanha,
JOINVILLE,CONCÓRDIA,GRUPOS,2 x 1,Terceira Rodada,,4,0,22/01/2025,19:00,Arena Joinville,
BRUSQUE,CHAPECOENSE,GRUPOS,1 x 2,Terceira Rodada,,6,0,22/01/2025,19:30,Estádio Augusto Bauer,
FIGUEIRENSE,CRICIÚMA,GRUPOS,2 x 3,Terceira Rodada,,2,0,22/01/2025,21:00,Estádio Orlando Scarpelli,
BARRA,SANTA CATARINA,GRUPOS,2 x 2,Terceira Rodada,,5,1,23/01/2025,19:00,Arena Barra Futebol Clube,
MARCÍLIO DIAS,HERCÍLIO LUZ,GRUPOS,1 x 0,Terceira Rodada,,5,1,23/01/2025,21:00,Estádio Dr. Hercílio Luz,
AVAÍ,FIGUERENSE,GRUPOS,0 x 1,Quarta Rodada,,4,1,25/01/2025,16:30,Estádio da Ressacada,
JOINVILLE,BRUSQUE,GRUPOS,1 x 1,Quarta Rodada,,3,0,25/01/2025,19:00,Arena Joinville,
HERCÍLIO LUZ,SANTA CATARINA,GRUPOS,0 x 1,Quarta Rodada,,5,0,26/01/2025,17:00,Estádio Anibal Torres Costa,
MARCÍLIO DIAS,CARAVAGGIO,GRUPOS,1 x 1,Quarta Rodada,,7,0,26/01/2025,17:30,Estádio Dr. Hercílio Luz,
CONCÓRDIA,CHAPECOENSE,GRUPOS,2 x 1,Quarta Rodada,,6,0,26/01/2025,18:00,Estádio Domingos Machado De Lima,
CRICIÚMA,BARRA,GRUPOS,1 x 1,Quarta Rodada,,4,0,26/01/2025,18:30,Estádio Heriberto Hulse,
BARRA,HERCÍLIO LUZ,GRUPOS,1 x1,Quinta Rodada,,5,0,29/01/2025,19:30,Arena Barra,
BRUSQUE,CARAVAGGIO,GRUPOS,1 x 0,Quinta Rodada,,4,0,29/01/2025,20:00,Estádio Augusto Bauer,
FIGUEIRENSE,CONCÓRDIA,GRUPOS,4 x 1,Quinta Rodada,,7,0,29/01/2025,19:00,Orlando Scarpelli,
CHAPECOENSE,AVAÍ,GRUPOS,0 x 0,Quinta Rodada,,3,0,29/01/2025,20:30,Estádio Municipal Josué Annoni,
CRÍCIUMA,JOINVILLE,GRUPOS,3 x 0,Quinta Rodada,,4,0,29/01/2025,21:00,Estádio Heriberto Hülse,
SANTA CATARINA,MARCÍLIO DIAS,GRUPOS,2 x 1,Quinta Rodada,,4,0,30/01/2025,20:00,Estádio Municipal Alfredo João Krieck,
CHAPECOENSE,CRICIÚMA,GRUPOS,0 x 0,Sexta Rodada,,0,0,01/02/2025,16:00,Estádio Municipal Josué Annoni,
AVAÍ,JOINVILLE,GRUPOS,3 x 0,Sexta Rodada,,4,0,01/02/2025,16:30,Estádio da Ressacada,
BRUSQUE,BARRA,GRUPOS,2 x 0,Sexta Rodada,,5,0,01/02/2025,18:00,Estádio Augusto Bauer,
SANTA CATARINA,FIGUERENSE,GRUPOS,2 x 2,Sexta Rodada,,7,2,02/02/2025,17:00,Estádio Municipal Alfredo João Krieck,
CARAVAGGIO,HERCÍLIO LUZ,GRUPOS,1 x 0,Sexta Rodada,,4,0,02/02/2025,18:30,Estádio da Montanha,
MARCÍLIO DIAS,CONCÓRDIA,GRUPOS,0 x 0,Sexta Rodada,,5,0,02/02/2025,19:00,Estádio Dr. Hercílio Luz,
BARRA,CHAPECOENSE,GRUPOS,1 x 1,Sétima Rodada,,3,0,05/02/2025,19:30,Arena Barra Futebol Clube,
FIGUEIRENSE,BRUSQUE,GRUPOS,1 x 0,Sétima Rodada,,7,0,05/02/2025,20:00,Estádio Orlando Scarpelli,
HERCÍLIO LUZ,AVAÍ,GRUPOS,0 x 3,Sétima Rodada,,8,1,05/02/2025,20:30,Estádio Anibal Torres Costa,
CRICIÚMA,SANTA CATARINA,GRUPOS,1 x 1,Sétima Rodada,,1,0,05/02/2025,21:00,Estádio Heriberto Hulse,
CONCÓRDIA,CARAVAGGIO,GRUPOS,2 x 0,Sétima Rodada,,6,0,06/02/2025,19:00,Estádio Domingos Machado De Lima,
JOINVILLE,MARCÍLIO DIAS,GRUPOS,1 x 1,Sétima Rodada,,8,0,06/02/2025,20:00,Arena Joinville,
